api_data_id,Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
api-13-No-Series,shameless us,11,Is title 'shameless us' original Netflix content?,No,12,"Is Netflix title 'shameless us' a Series, Movie, or Documentary?",Series
api-14-No-Series,the walking dead,11,Is title 'the walking dead' original Netflix content?,No,16,"Is Netflix title 'the walking dead' a Series, Movie, or Documentary?",Series
api-15-No-Series,friends 1994,10,Is title 'friends 1994' original Netflix content?,No,12,"Is Netflix title 'friends 1994' a Series, Movie, or Documentary?",Series
api-16-No-Series,ranczo,10,Is title 'ranczo' original Netflix content?,No,6,"Is Netflix title 'ranczo' a Series, Movie, or Documentary?",Series
api-17-No-Series,the blacklist,10,Is title 'the blacklist' original Netflix content?,No,13,"Is Netflix title 'the blacklist' a Series, Movie, or Documentary?",Series
api-18-No-Series,hubert und staller,10,Is title 'hubert und staller' original Netflix content?,No,18,"Is Netflix title 'hubert und staller' a Series, Movie, or Documentary?",Series
api-19-No-Series,solitary gourmet,10,Is title 'solitary gourmet' original Netflix content?,No,16,"Is Netflix title 'solitary gourmet' a Series, Movie, or Documentary?",Series
api-20-No-Series,fairy tail,10,Is title 'fairy tail' original Netflix content?,No,10,"Is Netflix title 'fairy tail' a Series, Movie, or Documentary?",Series
api-21-No-Series,benidorm 2007,9,Is title 'benidorm 2007' original Netflix content?,No,13,"Is Netflix title 'benidorm 2007' a Series, Movie, or Documentary?",Series
api-22-No-Series,still game,9,Is title 'still game' original Netflix content?,No,10,"Is Netflix title 'still game' a Series, Movie, or Documentary?",Series
api-23-No-Series,the office us,9,Is title 'the office us' original Netflix content?,No,13,"Is Netflix title 'the office us' a Series, Movie, or Documentary?",Series
api-24-No-Series,the flash 2014,9,Is title 'the flash 2014' original Netflix content?,No,14,"Is Netflix title 'the flash 2014' a Series, Movie, or Documentary?",Series
api-25-No-Series,suits 2011,9,Is title 'suits 2011' original Netflix content?,No,10,"Is Netflix title 'suits 2011' a Series, Movie, or Documentary?",Series
api-26-No-Series,naruto,9,Is title 'naruto' original Netflix content?,No,6,"Is Netflix title 'naruto' a Series, Movie, or Documentary?",Series
api-27-No-Series,conni,9,Is title 'conni' original Netflix content?,No,5,"Is Netflix title 'conni' a Series, Movie, or Documentary?",Series
api-28-No-Series,seinfeld,9,Is title 'seinfeld' original Netflix content?,No,8,"Is Netflix title 'seinfeld' a Series, Movie, or Documentary?",Series
api-29-Yes-Series,spirit riding free,8,Is title 'spirit riding free' original Netflix content?,Yes,18,"Is Netflix title 'spirit riding free' a Series, Movie, or Documentary?",Series
api-30-No-Series,gin tama,8,Is title 'gin tama' original Netflix content?,No,8,"Is Netflix title 'gin tama' a Series, Movie, or Documentary?",Series
api-31-No-Series,girlfriends 2000,8,Is title 'girlfriends 2000' original Netflix content?,No,16,"Is Netflix title 'girlfriends 2000' a Series, Movie, or Documentary?",Series
api-32-No-Series,paw patrol,8,Is title 'paw patrol' original Netflix content?,No,10,"Is Netflix title 'paw patrol' a Series, Movie, or Documentary?",Series
api-33-No-Series,brooklyn ninenine,8,Is title 'brooklyn ninenine' original Netflix content?,No,17,"Is Netflix title 'brooklyn ninenine' a Series, Movie, or Documentary?",Series
api-34-No-Series,slam dunk,8,Is title 'slam dunk' original Netflix content?,No,9,"Is Netflix title 'slam dunk' a Series, Movie, or Documentary?",Series
api-35-No-Series,mom 2013,8,Is title 'mom 2013' original Netflix content?,No,8,"Is Netflix title 'mom 2013' a Series, Movie, or Documentary?",Series
api-36-No-Series,the vampire diaries,8,Is title 'the vampire diaries' original Netflix content?,No,19,"Is Netflix title 'the vampire diaries' a Series, Movie, or Documentary?",Series
api-37-Yes-Series,voltron legendary defender,8,Is title 'voltron legendary defender' original Netflix content?,Yes,26,"Is Netflix title 'voltron legendary defender' a Series, Movie, or Documentary?",Series
api-38-No-Series,full house 1987,8,Is title 'full house 1987' original Netflix content?,No,15,"Is Netflix title 'full house 1987' a Series, Movie, or Documentary?",Series
api-39-No-Series,cocomelon,8,Is title 'cocomelon' original Netflix content?,No,9,"Is Netflix title 'cocomelon' a Series, Movie, or Documentary?",Series
api-40-No-Series,chhota bheem,8,Is title 'chhota bheem' original Netflix content?,No,12,"Is Netflix title 'chhota bheem' a Series, Movie, or Documentary?",Series
api-41-No-Series,wentworth,8,Is title 'wentworth' original Netflix content?,No,9,"Is Netflix title 'wentworth' a Series, Movie, or Documentary?",Series
api-42-No-Series,trolls the beat goes on,8,Is title 'trolls the beat goes on' original Netflix content?,No,23,"Is Netflix title 'trolls the beat goes on' a Series, Movie, or Documentary?",Series
api-43-No-Series,arrow,8,Is title 'arrow' original Netflix content?,No,5,"Is Netflix title 'arrow' a Series, Movie, or Documentary?",Series
api-44-No-Series,homeland,8,Is title 'homeland' original Netflix content?,No,8,"Is Netflix title 'homeland' a Series, Movie, or Documentary?",Series
api-45-No-Series,one piece whole cake island,8,Is title 'one piece whole cake island' original Netflix content?,No,27,"Is Netflix title 'one piece whole cake island' a Series, Movie, or Documentary?",Series
api-46-No-Series,gilmore girls,7,Is title 'gilmore girls' original Netflix content?,No,13,"Is Netflix title 'gilmore girls' a Series, Movie, or Documentary?",Series
api-47-Yes-Series,grace and frankie,7,Is title 'grace and frankie' original Netflix content?,Yes,17,"Is Netflix title 'grace and frankie' a Series, Movie, or Documentary?",Series
api-48-No-Series,heartbreak high 1994,7,Is title 'heartbreak high 1994' original Netflix content?,No,20,"Is Netflix title 'heartbreak high 1994' a Series, Movie, or Documentary?",Series
api-49-No-Series,star trek the next generation,7,Is title 'star trek the next generation' original Netflix content?,No,29,"Is Netflix title 'star trek the next generation' a Series, Movie, or Documentary?",Series
api-50-No-Series,star trek deep space nine,7,Is title 'star trek deep space nine' original Netflix content?,No,25,"Is Netflix title 'star trek deep space nine' a Series, Movie, or Documentary?",Series
api-51-Yes-Series,gabbys dollhouse,7,Is title 'gabbys dollhouse' original Netflix content?,Yes,16,"Is Netflix title 'gabbys dollhouse' a Series, Movie, or Documentary?",Series
api-52-No-Series,outlander,7,Is title 'outlander' original Netflix content?,No,9,"Is Netflix title 'outlander' a Series, Movie, or Documentary?",Series
api-53-No-Series,star trek voyager,7,Is title 'star trek voyager' original Netflix content?,No,17,"Is Netflix title 'star trek voyager' a Series, Movie, or Documentary?",Series
api-54-No-Series,the 100,7,Is title 'the 100' original Netflix content?,No,7,"Is Netflix title 'the 100' a Series, Movie, or Documentary?",Series
api-55-No-Series,workin moms,7,Is title 'workin moms' original Netflix content?,No,11,"Is Netflix title 'workin moms' a Series, Movie, or Documentary?",Series
api-56-No-Series,new girl,7,Is title 'new girl' original Netflix content?,No,8,"Is Netflix title 'new girl' a Series, Movie, or Documentary?",Series
api-57-No-Series,riverdale,7,Is title 'riverdale' original Netflix content?,No,9,"Is Netflix title 'riverdale' a Series, Movie, or Documentary?",Series
api-58-No-Series,the boarding school,7,Is title 'the boarding school' original Netflix content?,No,19,"Is Netflix title 'the boarding school' a Series, Movie, or Documentary?",Series
api-59-Yes-Series,mighty express,7,Is title 'mighty express' original Netflix content?,Yes,14,"Is Netflix title 'mighty express' a Series, Movie, or Documentary?",Series
api-60-No-Series,good witch,7,Is title 'good witch' original Netflix content?,No,10,"Is Netflix title 'good witch' a Series, Movie, or Documentary?",Series
api-61-No-Series,fsica o qumica,7,Is title 'fsica o qumica' original Netflix content?,No,14,"Is Netflix title 'fsica o qumica' a Series, Movie, or Documentary?",Series
api-62-No-Series,the mentalist,7,Is title 'the mentalist' original Netflix content?,No,13,"Is Netflix title 'the mentalist' a Series, Movie, or Documentary?",Series
api-63-No-Series,dcs legends of tomorrow,7,Is title 'dcs legends of tomorrow' original Netflix content?,No,23,"Is Netflix title 'dcs legends of tomorrow' a Series, Movie, or Documentary?",Series
api-64-No-Series,yugioh,7,Is title 'yugioh' original Netflix content?,No,6,"Is Netflix title 'yugioh' a Series, Movie, or Documentary?",Series
api-65-No-Series,pretty little liars 2010,7,Is title 'pretty little liars 2010' original Netflix content?,No,24,"Is Netflix title 'pretty little liars 2010' a Series, Movie, or Documentary?",Series
api-66-Yes-Series,queer eye,7,Is title 'queer eye' original Netflix content?,Yes,9,"Is Netflix title 'queer eye' a Series, Movie, or Documentary?",Series
api-67-Yes-Series,orange is the new black,7,Is title 'orange is the new black' original Netflix content?,Yes,23,"Is Netflix title 'orange is the new black' a Series, Movie, or Documentary?",Series
api-68-No-Series,ray donovan,7,Is title 'ray donovan' original Netflix content?,No,11,"Is Netflix title 'ray donovan' a Series, Movie, or Documentary?",Series
api-69-No-Series,keeping up with the kardashians,6,Is title 'keeping up with the kardashians' original Netflix content?,No,31,"Is Netflix title 'keeping up with the kardashians' a Series, Movie, or Documentary?",Series
api-70-No-Series,power 2014,6,Is title 'power 2014' original Netflix content?,No,10,"Is Netflix title 'power 2014' a Series, Movie, or Documentary?",Series
api-71-No-Series,moesha,6,Is title 'moesha' original Netflix content?,No,6,"Is Netflix title 'moesha' a Series, Movie, or Documentary?",Series
api-72-No-Series,polly pocket,6,Is title 'polly pocket' original Netflix content?,No,12,"Is Netflix title 'polly pocket' a Series, Movie, or Documentary?",Series
api-73-No-Series,this is us,6,Is title 'this is us' original Netflix content?,No,10,"Is Netflix title 'this is us' a Series, Movie, or Documentary?",Series
api-74-No-Series,johnny test 2005,6,Is title 'johnny test 2005' original Netflix content?,No,16,"Is Netflix title 'johnny test 2005' a Series, Movie, or Documentary?",Series
api-75-Yes-Series,black mirror,6,Is title 'black mirror' original Netflix content?,Yes,12,"Is Netflix title 'black mirror' a Series, Movie, or Documentary?",Series
api-76-No-Series,my hero academia,6,Is title 'my hero academia' original Netflix content?,No,16,"Is Netflix title 'my hero academia' a Series, Movie, or Documentary?",Series
api-77-No-Series,fireman sam,6,Is title 'fireman sam' original Netflix content?,No,11,"Is Netflix title 'fireman sam' a Series, Movie, or Documentary?",Series
api-78-Yes-Series,inside the worlds toughest prisons,6,Is title 'inside the worlds toughest prisons' original Netflix content?,Yes,34,"Is Netflix title 'inside the worlds toughest prisons' a Series, Movie, or Documentary?",Series
api-79-No-Series,better call saul,6,Is title 'better call saul' original Netflix content?,No,16,"Is Netflix title 'better call saul' a Series, Movie, or Documentary?",Series
api-80-No-Series,rupauls drag race,6,Is title 'rupauls drag race' original Netflix content?,No,17,"Is Netflix title 'rupauls drag race' a Series, Movie, or Documentary?",Series
api-81-No-Series,community,6,Is title 'community' original Netflix content?,No,9,"Is Netflix title 'community' a Series, Movie, or Documentary?",Series
api-82-No-Series,lego ninjago,6,Is title 'lego ninjago' original Netflix content?,No,12,"Is Netflix title 'lego ninjago' a Series, Movie, or Documentary?",Series
api-83-No-Series,dragons race to the edge,6,Is title 'dragons race to the edge' original Netflix content?,No,24,"Is Netflix title 'dragons race to the edge' a Series, Movie, or Documentary?",Series
api-84-No-Series,my little pony friendship is magic,6,Is title 'my little pony friendship is magic' original Netflix content?,No,34,"Is Netflix title 'my little pony friendship is magic' a Series, Movie, or Documentary?",Series
api-85-Yes-Series,somebody feed phil,6,Is title 'somebody feed phil' original Netflix content?,Yes,18,"Is Netflix title 'somebody feed phil' a Series, Movie, or Documentary?",Series
api-86-No-Series,supergirl,6,Is title 'supergirl' original Netflix content?,No,9,"Is Netflix title 'supergirl' a Series, Movie, or Documentary?",Series
api-87-No-Series,numberblocks,6,Is title 'numberblocks' original Netflix content?,No,12,"Is Netflix title 'numberblocks' a Series, Movie, or Documentary?",Series
api-88-No-Series,the fresh prince of belair,6,Is title 'the fresh prince of belair' original Netflix content?,No,26,"Is Netflix title 'the fresh prince of belair' a Series, Movie, or Documentary?",Series
api-89-Yes-Series,big mouth,6,Is title 'big mouth' original Netflix content?,Yes,9,"Is Netflix title 'big mouth' a Series, Movie, or Documentary?",Series
api-90-Yes-Series,the adventures of puss in boots,6,Is title 'the adventures of puss in boots' original Netflix content?,Yes,31,"Is Netflix title 'the adventures of puss in boots' a Series, Movie, or Documentary?",Series
api-91-No-Series,thomas and friends,6,Is title 'thomas and friends' original Netflix content?,No,18,"Is Netflix title 'thomas and friends' a Series, Movie, or Documentary?",Series
api-92-Yes-Series,go go cory carson,6,Is title 'go go cory carson' original Netflix content?,Yes,17,"Is Netflix title 'go go cory carson' a Series, Movie, or Documentary?",Series
api-93-No-Series,inuyasha,6,Is title 'inuyasha' original Netflix content?,No,8,"Is Netflix title 'inuyasha' a Series, Movie, or Documentary?",Series
api-94-No-Series,bunkd,6,Is title 'bunkd' original Netflix content?,No,5,"Is Netflix title 'bunkd' a Series, Movie, or Documentary?",Series
api-95-No-Series,al kabeer,6,Is title 'al kabeer' original Netflix content?,No,9,"Is Netflix title 'al kabeer' a Series, Movie, or Documentary?",Series
api-96-Yes-Series,bojack horseman,6,Is title 'bojack horseman' original Netflix content?,Yes,15,"Is Netflix title 'bojack horseman' a Series, Movie, or Documentary?",Series
api-97-No-Series,rick and morty,6,Is title 'rick and morty' original Netflix content?,No,14,"Is Netflix title 'rick and morty' a Series, Movie, or Documentary?",Series
api-98-No-Series,der tatortreiniger,6,Is title 'der tatortreiniger' original Netflix content?,No,18,"Is Netflix title 'der tatortreiniger' a Series, Movie, or Documentary?",Series
api-99-No-Series,when calls the heart,6,Is title 'when calls the heart' original Netflix content?,No,20,"Is Netflix title 'when calls the heart' a Series, Movie, or Documentary?",Series
api-100-No-Series,chesapeake shores,6,Is title 'chesapeake shores' original Netflix content?,No,17,"Is Netflix title 'chesapeake shores' a Series, Movie, or Documentary?",Series
api-101-No-Series,how to get away with murder,6,Is title 'how to get away with murder' original Netflix content?,No,27,"Is Netflix title 'how to get away with murder' a Series, Movie, or Documentary?",Series
api-102-No-Series,the powerpuff girls 1998,6,Is title 'the powerpuff girls 1998' original Netflix content?,No,24,"Is Netflix title 'the powerpuff girls 1998' a Series, Movie, or Documentary?",Series
api-103-No-Series,peppa pig,6,Is title 'peppa pig' original Netflix content?,No,9,"Is Netflix title 'peppa pig' a Series, Movie, or Documentary?",Series
api-104-No-Series,hunter x hunter 2011,6,Is title 'hunter x hunter 2011' original Netflix content?,No,20,"Is Netflix title 'hunter x hunter 2011' a Series, Movie, or Documentary?",Series
api-105-Yes-Series,nailed it,6,Is title 'nailed it' original Netflix content?,Yes,9,"Is Netflix title 'nailed it' a Series, Movie, or Documentary?",Series
api-106-No-Series,the mindy project,6,Is title 'the mindy project' original Netflix content?,No,17,"Is Netflix title 'the mindy project' a Series, Movie, or Documentary?",Series
api-107-No-Series,west coast customs,6,Is title 'west coast customs' original Netflix content?,No,18,"Is Netflix title 'west coast customs' a Series, Movie, or Documentary?",Series
api-108-No-Series,the originals,6,Is title 'the originals' original Netflix content?,No,13,"Is Netflix title 'the originals' a Series, Movie, or Documentary?",Series
api-109-Yes-Series,selling sunset,6,Is title 'selling sunset' original Netflix content?,Yes,14,"Is Netflix title 'selling sunset' a Series, Movie, or Documentary?",Series
api-110-No-Series,fist of the north star,6,Is title 'fist of the north star' original Netflix content?,No,22,"Is Netflix title 'fist of the north star' a Series, Movie, or Documentary?",Series
api-111-No-Series,peaky blinders,6,Is title 'peaky blinders' original Netflix content?,No,14,"Is Netflix title 'peaky blinders' a Series, Movie, or Documentary?",Series
api-112-No-Series,curious george,6,Is title 'curious george' original Netflix content?,No,14,"Is Netflix title 'curious george' a Series, Movie, or Documentary?",Series
api-113-Yes-Series,the circle,6,Is title 'the circle' original Netflix content?,Yes,10,"Is Netflix title 'the circle' a Series, Movie, or Documentary?",Series
api-114-No-Series,superstore,6,Is title 'superstore' original Netflix content?,No,10,"Is Netflix title 'superstore' a Series, Movie, or Documentary?",Series
api-115-No-Series,animal kingdom,6,Is title 'animal kingdom' original Netflix content?,No,14,"Is Netflix title 'animal kingdom' a Series, Movie, or Documentary?",Series
api-116-No-Series,vikings 2013,6,Is title 'vikings 2013' original Netflix content?,No,12,"Is Netflix title 'vikings 2013' a Series, Movie, or Documentary?",Series
api-117-Yes-Series,house of cards,6,Is title 'house of cards' original Netflix content?,Yes,14,"Is Netflix title 'house of cards' a Series, Movie, or Documentary?",Series
api-118-No-Series,taskmaster,6,Is title 'taskmaster' original Netflix content?,No,10,"Is Netflix title 'taskmaster' a Series, Movie, or Documentary?",Series
api-119-No-Series,lucifer,6,Is title 'lucifer' original Netflix content?,No,7,"Is Netflix title 'lucifer' a Series, Movie, or Documentary?",Series
api-120-No-Series,once upon a time,6,Is title 'once upon a time' original Netflix content?,No,16,"Is Netflix title 'once upon a time' a Series, Movie, or Documentary?",Series
api-121-No-Series,24 hours in ae,6,Is title '24 hours in ae' original Netflix content?,No,14,"Is Netflix title '24 hours in ae' a Series, Movie, or Documentary?",Series
api-122-Yes-Series,fast  furious spy racers,6,Is title 'fast  furious spy racers' original Netflix content?,Yes,24,"Is Netflix title 'fast  furious spy racers' a Series, Movie, or Documentary?",Series
api-123-No-Series,teen wolf 2011,6,Is title 'teen wolf 2011' original Netflix content?,No,14,"Is Netflix title 'teen wolf 2011' a Series, Movie, or Documentary?",Series
api-124-No-Series,sister sister,6,Is title 'sister sister' original Netflix content?,No,13,"Is Netflix title 'sister sister' a Series, Movie, or Documentary?",Series
api-125-No-Series,desmonds,6,Is title 'desmonds' original Netflix content?,No,8,"Is Netflix title 'desmonds' a Series, Movie, or Documentary?",Series
api-126-No-Series,madam secretary,6,Is title 'madam secretary' original Netflix content?,No,15,"Is Netflix title 'madam secretary' a Series, Movie, or Documentary?",Series
api-127-No-Series,un paso adelante,6,Is title 'un paso adelante' original Netflix content?,No,16,"Is Netflix title 'un paso adelante' a Series, Movie, or Documentary?",Series
api-128-No-Series,schitts creek,6,Is title 'schitts creek' original Netflix content?,No,13,"Is Netflix title 'schitts creek' a Series, Movie, or Documentary?",Series
api-129-Yes-Series,elite,6,Is title 'elite' original Netflix content?,Yes,5,"Is Netflix title 'elite' a Series, Movie, or Documentary?",Series
api-130-No-Series,longmire,6,Is title 'longmire' original Netflix content?,No,8,"Is Netflix title 'longmire' a Series, Movie, or Documentary?",Series
api-131-No-Series,gossip girl 2007,6,Is title 'gossip girl 2007' original Netflix content?,No,16,"Is Netflix title 'gossip girl 2007' a Series, Movie, or Documentary?",Series
api-132-No-Series,the parkers,5,Is title 'the parkers' original Netflix content?,No,11,"Is Netflix title 'the parkers' a Series, Movie, or Documentary?",Series
api-133-No-Series,the ultimate braai master,5,Is title 'the ultimate braai master' original Netflix content?,No,25,"Is Netflix title 'the ultimate braai master' a Series, Movie, or Documentary?",Series
api-134-No-Series,van helsing,5,Is title 'van helsing' original Netflix content?,No,11,"Is Netflix title 'van helsing' a Series, Movie, or Documentary?",Series
api-135-No-Series,teen titans go,5,Is title 'teen titans go' original Netflix content?,No,14,"Is Netflix title 'teen titans go' a Series, Movie, or Documentary?",Series
api-136-No-Series,dinotrux,5,Is title 'dinotrux' original Netflix content?,No,8,"Is Netflix title 'dinotrux' a Series, Movie, or Documentary?",Series
api-137-No-Series,rookie blue,5,Is title 'rookie blue' original Netflix content?,No,11,"Is Netflix title 'rookie blue' a Series, Movie, or Documentary?",Series
api-138-No-Series,top gear 2003,5,Is title 'top gear 2003' original Netflix content?,No,13,"Is Netflix title 'top gear 2003' a Series, Movie, or Documentary?",Series
api-139-No-Series,el marginal,5,Is title 'el marginal' original Netflix content?,No,11,"Is Netflix title 'el marginal' a Series, Movie, or Documentary?",Series
api-140-No-Series,booba,5,Is title 'booba' original Netflix content?,No,5,"Is Netflix title 'booba' a Series, Movie, or Documentary?",Series
api-141-No-Series,billions,5,Is title 'billions' original Netflix content?,No,8,"Is Netflix title 'billions' a Series, Movie, or Documentary?",Series
api-142-No-Series,jane the virgin,5,Is title 'jane the virgin' original Netflix content?,No,15,"Is Netflix title 'jane the virgin' a Series, Movie, or Documentary?",Series
api-143-No-Series,rake 2010,5,Is title 'rake 2010' original Netflix content?,No,9,"Is Netflix title 'rake 2010' a Series, Movie, or Documentary?",Series
api-144-No-Series,the last kingdom,5,Is title 'the last kingdom' original Netflix content?,No,16,"Is Netflix title 'the last kingdom' a Series, Movie, or Documentary?",Series
api-145-No-Series,un gars une fille 1999,5,Is title 'un gars une fille 1999' original Netflix content?,No,22,"Is Netflix title 'un gars une fille 1999' a Series, Movie, or Documentary?",Series
api-146-No-Movie,the batman,5,Is title 'the batman' original Netflix content?,No,10,"Is Netflix title 'the batman' a Series, Movie, or Documentary?",Movie
api-147-No-Series,gotham,5,Is title 'gotham' original Netflix content?,No,6,"Is Netflix title 'gotham' a Series, Movie, or Documentary?",Series
api-148-Yes-Series,formula 1 drive to survive,5,Is title 'formula 1 drive to survive' original Netflix content?,Yes,26,"Is Netflix title 'formula 1 drive to survive' a Series, Movie, or Documentary?",Series
api-149-No-Series,izombie,5,Is title 'izombie' original Netflix content?,No,7,"Is Netflix title 'izombie' a Series, Movie, or Documentary?",Series
api-150-No-Series,travel man 48 hours in,5,Is title 'travel man 48 hours in' original Netflix content?,No,22,"Is Netflix title 'travel man 48 hours in' a Series, Movie, or Documentary?",Series
api-151-No-Series,masha and the bear,5,Is title 'masha and the bear' original Netflix content?,No,18,"Is Netflix title 'masha and the bear' a Series, Movie, or Documentary?",Series
api-152-No-Series,one on one,5,Is title 'one on one' original Netflix content?,No,10,"Is Netflix title 'one on one' a Series, Movie, or Documentary?",Series
api-153-Yes-Series,shera and the princesses of power,5,Is title 'shera and the princesses of power' original Netflix content?,Yes,33,"Is Netflix title 'shera and the princesses of power' a Series, Movie, or Documentary?",Series
api-154-Yes-Series,word party,5,Is title 'word party' original Netflix content?,Yes,10,"Is Netflix title 'word party' a Series, Movie, or Documentary?",Series
api-155-No-Series,detective conan,5,Is title 'detective conan' original Netflix content?,No,15,"Is Netflix title 'detective conan' a Series, Movie, or Documentary?",Series
api-156-No-Series,you me her,5,Is title 'you me her' original Netflix content?,No,10,"Is Netflix title 'you me her' a Series, Movie, or Documentary?",Series
api-157-No-Series,skam italia,5,Is title 'skam italia' original Netflix content?,No,11,"Is Netflix title 'skam italia' a Series, Movie, or Documentary?",Series
api-158-No-Series,casados con hijos 2005,5,Is title 'casados con hijos 2005' original Netflix content?,No,22,"Is Netflix title 'casados con hijos 2005' a Series, Movie, or Documentary?",Series
api-159-Yes-Series,cuckoo,5,Is title 'cuckoo' original Netflix content?,Yes,6,"Is Netflix title 'cuckoo' a Series, Movie, or Documentary?",Series
api-160-No-Series,queen of the south,5,Is title 'queen of the south' original Netflix content?,No,18,"Is Netflix title 'queen of the south' a Series, Movie, or Documentary?",Series
api-161-No-Series,the good doctor,5,Is title 'the good doctor' original Netflix content?,No,15,"Is Netflix title 'the good doctor' a Series, Movie, or Documentary?",Series
api-162-Yes-Series,all hail king julien,5,Is title 'all hail king julien' original Netflix content?,Yes,20,"Is Netflix title 'all hail king julien' a Series, Movie, or Documentary?",Series
api-163-Yes-Series,jack whitehall travels with my father,5,Is title 'jack whitehall travels with my father' original Netflix content?,Yes,37,"Is Netflix title 'jack whitehall travels with my father' a Series, Movie, or Documentary?",Series
api-164-No-Series,black lightning,5,Is title 'black lightning' original Netflix content?,No,15,"Is Netflix title 'black lightning' a Series, Movie, or Documentary?",Series
api-165-Yes-Series,ridley jones,5,Is title 'ridley jones' original Netflix content?,Yes,12,"Is Netflix title 'ridley jones' a Series, Movie, or Documentary?",Series
api-166-No-Series,people just do nothing,5,Is title 'people just do nothing' original Netflix content?,No,22,"Is Netflix title 'people just do nothing' a Series, Movie, or Documentary?",Series
api-167-No-Series,z nation,5,Is title 'z nation' original Netflix content?,No,8,"Is Netflix title 'z nation' a Series, Movie, or Documentary?",Series
api-168-No-Series,swat 2017,5,Is title 'swat 2017' original Netflix content?,No,9,"Is Netflix title 'swat 2017' a Series, Movie, or Documentary?",Series
api-169-No-Series,the magicians 2015,5,Is title 'the magicians 2015' original Netflix content?,No,18,"Is Netflix title 'the magicians 2015' a Series, Movie, or Documentary?",Series
api-170-No-Series,blindspot,5,Is title 'blindspot' original Netflix content?,No,9,"Is Netflix title 'blindspot' a Series, Movie, or Documentary?",Series
api-171-No-Series,greenleaf,5,Is title 'greenleaf' original Netflix content?,No,9,"Is Netflix title 'greenleaf' a Series, Movie, or Documentary?",Series
api-172-No-Series,cobra kai,5,Is title 'cobra kai' original Netflix content?,No,9,"Is Netflix title 'cobra kai' a Series, Movie, or Documentary?",Series
api-173-Yes-Series,jurassic world camp cretaceous,5,Is title 'jurassic world camp cretaceous' original Netflix content?,Yes,30,"Is Netflix title 'jurassic world camp cretaceous' a Series, Movie, or Documentary?",Series
api-174-Yes-Series,f is for family,5,Is title 'f is for family' original Netflix content?,Yes,15,"Is Netflix title 'f is for family' a Series, Movie, or Documentary?",Series
api-175-No-Series,friday night lights,5,Is title 'friday night lights' original Netflix content?,No,19,"Is Netflix title 'friday night lights' a Series, Movie, or Documentary?",Series
api-176-No-Series,hells kitchen 2005,5,Is title 'hells kitchen 2005' original Netflix content?,No,18,"Is Netflix title 'hells kitchen 2005' a Series, Movie, or Documentary?",Series
api-177-Yes-Series,the crown,5,Is title 'the crown' original Netflix content?,Yes,9,"Is Netflix title 'the crown' a Series, Movie, or Documentary?",Series
api-178-No-Series,breaking bad,5,Is title 'breaking bad' original Netflix content?,No,12,"Is Netflix title 'breaking bad' a Series, Movie, or Documentary?",Series
api-179-No-Series,poldark 2015,5,Is title 'poldark 2015' original Netflix content?,No,12,"Is Netflix title 'poldark 2015' a Series, Movie, or Documentary?",Series
api-180-No-Series,young sheldon,5,Is title 'young sheldon' original Netflix content?,No,13,"Is Netflix title 'young sheldon' a Series, Movie, or Documentary?",Series
