Clean_Title,Title_Counts,Clean_Title_Char_Len,is_original_Prompt,Content_Type_Prompt
the office us,9,13,Is title 'the office us' original Netflix content?,"Is Netflix title 'the office us' a Series, Movie, or Documentary?"
suits 2011,9,10,Is title 'suits 2011' original Netflix content?,"Is Netflix title 'suits 2011' a Series, Movie, or Documentary?"
the flash 2014,9,14,Is title 'the flash 2014' original Netflix content?,"Is Netflix title 'the flash 2014' a Series, Movie, or Documentary?"
mom 2013,8,8,Is title 'mom 2013' original Netflix content?,"Is Netflix title 'mom 2013' a Series, Movie, or Documentary?"
wentworth,8,9,Is title 'wentworth' original Netflix content?,"Is Netflix title 'wentworth' a Series, Movie, or Documentary?"
paw patrol,8,10,Is title 'paw patrol' original Netflix content?,"Is Netflix title 'paw patrol' a Series, Movie, or Documentary?"
spirit riding free,8,18,Is title 'spirit riding free' original Netflix content?,"Is Netflix title 'spirit riding free' a Series, Movie, or Documentary?"
homeland,8,8,Is title 'homeland' original Netflix content?,"Is Netflix title 'homeland' a Series, Movie, or Documentary?"
brooklyn ninenine,8,17,Is title 'brooklyn ninenine' original Netflix content?,"Is Netflix title 'brooklyn ninenine' a Series, Movie, or Documentary?"
the vampire diaries,8,19,Is title 'the vampire diaries' original Netflix content?,"Is Netflix title 'the vampire diaries' a Series, Movie, or Documentary?"
gin tama,8,8,Is title 'gin tama' original Netflix content?,"Is Netflix title 'gin tama' a Series, Movie, or Documentary?"
cocomelon,8,9,Is title 'cocomelon' original Netflix content?,"Is Netflix title 'cocomelon' a Series, Movie, or Documentary?"
voltron legendary defender,8,26,Is title 'voltron legendary defender' original Netflix content?,"Is Netflix title 'voltron legendary defender' a Series, Movie, or Documentary?"
trolls the beat goes on,8,23,Is title 'trolls the beat goes on' original Netflix content?,"Is Netflix title 'trolls the beat goes on' a Series, Movie, or Documentary?"
chhota bheem,8,12,Is title 'chhota bheem' original Netflix content?,"Is Netflix title 'chhota bheem' a Series, Movie, or Documentary?"
one piece whole cake island,8,27,Is title 'one piece whole cake island' original Netflix content?,"Is Netflix title 'one piece whole cake island' a Series, Movie, or Documentary?"
arrow,8,5,Is title 'arrow' original Netflix content?,"Is Netflix title 'arrow' a Series, Movie, or Documentary?"
girlfriends 2000,8,16,Is title 'girlfriends 2000' original Netflix content?,"Is Netflix title 'girlfriends 2000' a Series, Movie, or Documentary?"
slam dunk,8,9,Is title 'slam dunk' original Netflix content?,"Is Netflix title 'slam dunk' a Series, Movie, or Documentary?"
full house 1987,8,15,Is title 'full house 1987' original Netflix content?,"Is Netflix title 'full house 1987' a Series, Movie, or Documentary?"
new girl,7,8,Is title 'new girl' original Netflix content?,"Is Netflix title 'new girl' a Series, Movie, or Documentary?"
good witch,7,10,Is title 'good witch' original Netflix content?,"Is Netflix title 'good witch' a Series, Movie, or Documentary?"
the mentalist,7,13,Is title 'the mentalist' original Netflix content?,"Is Netflix title 'the mentalist' a Series, Movie, or Documentary?"
workin moms,7,11,Is title 'workin moms' original Netflix content?,"Is Netflix title 'workin moms' a Series, Movie, or Documentary?"
orange is the new black,7,23,Is title 'orange is the new black' original Netflix content?,"Is Netflix title 'orange is the new black' a Series, Movie, or Documentary?"
the 100,7,7,Is title 'the 100' original Netflix content?,"Is Netflix title 'the 100' a Series, Movie, or Documentary?"
yugioh,7,6,Is title 'yugioh' original Netflix content?,"Is Netflix title 'yugioh' a Series, Movie, or Documentary?"
outlander,7,9,Is title 'outlander' original Netflix content?,"Is Netflix title 'outlander' a Series, Movie, or Documentary?"
mighty express,7,14,Is title 'mighty express' original Netflix content?,"Is Netflix title 'mighty express' a Series, Movie, or Documentary?"
the boarding school,7,19,Is title 'the boarding school' original Netflix content?,"Is Netflix title 'the boarding school' a Series, Movie, or Documentary?"
queer eye,7,9,Is title 'queer eye' original Netflix content?,"Is Netflix title 'queer eye' a Series, Movie, or Documentary?"
star trek voyager,7,17,Is title 'star trek voyager' original Netflix content?,"Is Netflix title 'star trek voyager' a Series, Movie, or Documentary?"
gabbys dollhouse,7,16,Is title 'gabbys dollhouse' original Netflix content?,"Is Netflix title 'gabbys dollhouse' a Series, Movie, or Documentary?"
ray donovan,7,11,Is title 'ray donovan' original Netflix content?,"Is Netflix title 'ray donovan' a Series, Movie, or Documentary?"
fsica o qumica,7,14,Is title 'fsica o qumica' original Netflix content?,"Is Netflix title 'fsica o qumica' a Series, Movie, or Documentary?"
grace and frankie,7,17,Is title 'grace and frankie' original Netflix content?,"Is Netflix title 'grace and frankie' a Series, Movie, or Documentary?"
gilmore girls,7,13,Is title 'gilmore girls' original Netflix content?,"Is Netflix title 'gilmore girls' a Series, Movie, or Documentary?"
pretty little liars 2010,7,24,Is title 'pretty little liars 2010' original Netflix content?,"Is Netflix title 'pretty little liars 2010' a Series, Movie, or Documentary?"
dcs legends of tomorrow,7,23,Is title 'dcs legends of tomorrow' original Netflix content?,"Is Netflix title 'dcs legends of tomorrow' a Series, Movie, or Documentary?"
star trek the next generation,7,29,Is title 'star trek the next generation' original Netflix content?,"Is Netflix title 'star trek the next generation' a Series, Movie, or Documentary?"
star trek deep space nine,7,25,Is title 'star trek deep space nine' original Netflix content?,"Is Netflix title 'star trek deep space nine' a Series, Movie, or Documentary?"
heartbreak high 1994,7,20,Is title 'heartbreak high 1994' original Netflix content?,"Is Netflix title 'heartbreak high 1994' a Series, Movie, or Documentary?"
riverdale,7,9,Is title 'riverdale' original Netflix content?,"Is Netflix title 'riverdale' a Series, Movie, or Documentary?"
the circle,6,10,Is title 'the circle' original Netflix content?,"Is Netflix title 'the circle' a Series, Movie, or Documentary?"
somebody feed phil,6,18,Is title 'somebody feed phil' original Netflix content?,"Is Netflix title 'somebody feed phil' a Series, Movie, or Documentary?"
superstore,6,10,Is title 'superstore' original Netflix content?,"Is Netflix title 'superstore' a Series, Movie, or Documentary?"
elite,6,5,Is title 'elite' original Netflix content?,"Is Netflix title 'elite' a Series, Movie, or Documentary?"
curious george,6,14,Is title 'curious george' original Netflix content?,"Is Netflix title 'curious george' a Series, Movie, or Documentary?"
numberblocks,6,12,Is title 'numberblocks' original Netflix content?,"Is Netflix title 'numberblocks' a Series, Movie, or Documentary?"
taskmaster,6,10,Is title 'taskmaster' original Netflix content?,"Is Netflix title 'taskmaster' a Series, Movie, or Documentary?"
big mouth,6,9,Is title 'big mouth' original Netflix content?,"Is Netflix title 'big mouth' a Series, Movie, or Documentary?"
un paso adelante,6,16,Is title 'un paso adelante' original Netflix content?,"Is Netflix title 'un paso adelante' a Series, Movie, or Documentary?"
hunter x hunter 2011,6,20,Is title 'hunter x hunter 2011' original Netflix content?,"Is Netflix title 'hunter x hunter 2011' a Series, Movie, or Documentary?"
gossip girl 2007,6,16,Is title 'gossip girl 2007' original Netflix content?,"Is Netflix title 'gossip girl 2007' a Series, Movie, or Documentary?"
the fresh prince of belair,6,26,Is title 'the fresh prince of belair' original Netflix content?,"Is Netflix title 'the fresh prince of belair' a Series, Movie, or Documentary?"
power 2014,6,10,Is title 'power 2014' original Netflix content?,"Is Netflix title 'power 2014' a Series, Movie, or Documentary?"
vikings 2013,6,12,Is title 'vikings 2013' original Netflix content?,"Is Netflix title 'vikings 2013' a Series, Movie, or Documentary?"
the mindy project,6,17,Is title 'the mindy project' original Netflix content?,"Is Netflix title 'the mindy project' a Series, Movie, or Documentary?"
the adventures of puss in boots,6,31,Is title 'the adventures of puss in boots' original Netflix content?,"Is Netflix title 'the adventures of puss in boots' a Series, Movie, or Documentary?"
moesha,6,6,Is title 'moesha' original Netflix content?,"Is Netflix title 'moesha' a Series, Movie, or Documentary?"
the powerpuff girls 1998,6,24,Is title 'the powerpuff girls 1998' original Netflix content?,"Is Netflix title 'the powerpuff girls 1998' a Series, Movie, or Documentary?"
schitts creek,6,13,Is title 'schitts creek' original Netflix content?,"Is Netflix title 'schitts creek' a Series, Movie, or Documentary?"
peaky blinders,6,14,Is title 'peaky blinders' original Netflix content?,"Is Netflix title 'peaky blinders' a Series, Movie, or Documentary?"
teen wolf 2011,6,14,Is title 'teen wolf 2011' original Netflix content?,"Is Netflix title 'teen wolf 2011' a Series, Movie, or Documentary?"
supergirl,6,9,Is title 'supergirl' original Netflix content?,"Is Netflix title 'supergirl' a Series, Movie, or Documentary?"
lego ninjago,6,12,Is title 'lego ninjago' original Netflix content?,"Is Netflix title 'lego ninjago' a Series, Movie, or Documentary?"
this is us,6,10,Is title 'this is us' original Netflix content?,"Is Netflix title 'this is us' a Series, Movie, or Documentary?"
west coast customs,6,18,Is title 'west coast customs' original Netflix content?,"Is Netflix title 'west coast customs' a Series, Movie, or Documentary?"
my little pony friendship is magic,6,34,Is title 'my little pony friendship is magic' original Netflix content?,"Is Netflix title 'my little pony friendship is magic' a Series, Movie, or Documentary?"
my hero academia,6,16,Is title 'my hero academia' original Netflix content?,"Is Netflix title 'my hero academia' a Series, Movie, or Documentary?"
inside the worlds toughest prisons,6,34,Is title 'inside the worlds toughest prisons' original Netflix content?,"Is Netflix title 'inside the worlds toughest prisons' a Series, Movie, or Documentary?"
johnny test 2005,6,16,Is title 'johnny test 2005' original Netflix content?,"Is Netflix title 'johnny test 2005' a Series, Movie, or Documentary?"
chesapeake shores,6,17,Is title 'chesapeake shores' original Netflix content?,"Is Netflix title 'chesapeake shores' a Series, Movie, or Documentary?"
fist of the north star,6,22,Is title 'fist of the north star' original Netflix content?,"Is Netflix title 'fist of the north star' a Series, Movie, or Documentary?"
polly pocket,6,12,Is title 'polly pocket' original Netflix content?,"Is Netflix title 'polly pocket' a Series, Movie, or Documentary?"
longmire,6,8,Is title 'longmire' original Netflix content?,"Is Netflix title 'longmire' a Series, Movie, or Documentary?"
der tatortreiniger,6,18,Is title 'der tatortreiniger' original Netflix content?,"Is Netflix title 'der tatortreiniger' a Series, Movie, or Documentary?"
fireman sam,6,11,Is title 'fireman sam' original Netflix content?,"Is Netflix title 'fireman sam' a Series, Movie, or Documentary?"
when calls the heart,6,20,Is title 'when calls the heart' original Netflix content?,"Is Netflix title 'when calls the heart' a Series, Movie, or Documentary?"
24 hours in ae,6,14,Is title '24 hours in ae' original Netflix content?,"Is Netflix title '24 hours in ae' a Series, Movie, or Documentary?"
how to get away with murder,6,27,Is title 'how to get away with murder' original Netflix content?,"Is Netflix title 'how to get away with murder' a Series, Movie, or Documentary?"
better call saul,6,16,Is title 'better call saul' original Netflix content?,"Is Netflix title 'better call saul' a Series, Movie, or Documentary?"
the originals,6,13,Is title 'the originals' original Netflix content?,"Is Netflix title 'the originals' a Series, Movie, or Documentary?"
lucifer,6,7,Is title 'lucifer' original Netflix content?,"Is Netflix title 'lucifer' a Series, Movie, or Documentary?"
nailed it,6,9,Is title 'nailed it' original Netflix content?,"Is Netflix title 'nailed it' a Series, Movie, or Documentary?"
fast  furious spy racers,6,24,Is title 'fast  furious spy racers' original Netflix content?,"Is Netflix title 'fast  furious spy racers' a Series, Movie, or Documentary?"
keeping up with the kardashians,6,31,Is title 'keeping up with the kardashians' original Netflix content?,"Is Netflix title 'keeping up with the kardashians' a Series, Movie, or Documentary?"
al kabeer,6,9,Is title 'al kabeer' original Netflix content?,"Is Netflix title 'al kabeer' a Series, Movie, or Documentary?"
dragons race to the edge,6,24,Is title 'dragons race to the edge' original Netflix content?,"Is Netflix title 'dragons race to the edge' a Series, Movie, or Documentary?"
desmonds,6,8,Is title 'desmonds' original Netflix content?,"Is Netflix title 'desmonds' a Series, Movie, or Documentary?"
black mirror,6,12,Is title 'black mirror' original Netflix content?,"Is Netflix title 'black mirror' a Series, Movie, or Documentary?"
thomas and friends,6,18,Is title 'thomas and friends' original Netflix content?,"Is Netflix title 'thomas and friends' a Series, Movie, or Documentary?"
madam secretary,6,15,Is title 'madam secretary' original Netflix content?,"Is Netflix title 'madam secretary' a Series, Movie, or Documentary?"
rupauls drag race,6,17,Is title 'rupauls drag race' original Netflix content?,"Is Netflix title 'rupauls drag race' a Series, Movie, or Documentary?"
sister sister,6,13,Is title 'sister sister' original Netflix content?,"Is Netflix title 'sister sister' a Series, Movie, or Documentary?"
bunkd,6,5,Is title 'bunkd' original Netflix content?,"Is Netflix title 'bunkd' a Series, Movie, or Documentary?"
inuyasha,6,8,Is title 'inuyasha' original Netflix content?,"Is Netflix title 'inuyasha' a Series, Movie, or Documentary?"
bojack horseman,6,15,Is title 'bojack horseman' original Netflix content?,"Is Netflix title 'bojack horseman' a Series, Movie, or Documentary?"
rick and morty,6,14,Is title 'rick and morty' original Netflix content?,"Is Netflix title 'rick and morty' a Series, Movie, or Documentary?"
house of cards,6,14,Is title 'house of cards' original Netflix content?,"Is Netflix title 'house of cards' a Series, Movie, or Documentary?"
animal kingdom,6,14,Is title 'animal kingdom' original Netflix content?,"Is Netflix title 'animal kingdom' a Series, Movie, or Documentary?"
once upon a time,6,16,Is title 'once upon a time' original Netflix content?,"Is Netflix title 'once upon a time' a Series, Movie, or Documentary?"
go go cory carson,6,17,Is title 'go go cory carson' original Netflix content?,"Is Netflix title 'go go cory carson' a Series, Movie, or Documentary?"
peppa pig,6,9,Is title 'peppa pig' original Netflix content?,"Is Netflix title 'peppa pig' a Series, Movie, or Documentary?"
selling sunset,6,14,Is title 'selling sunset' original Netflix content?,"Is Netflix title 'selling sunset' a Series, Movie, or Documentary?"
community,6,9,Is title 'community' original Netflix content?,"Is Netflix title 'community' a Series, Movie, or Documentary?"
gotham,5,6,Is title 'gotham' original Netflix content?,"Is Netflix title 'gotham' a Series, Movie, or Documentary?"
hells kitchen 2005,5,18,Is title 'hells kitchen 2005' original Netflix content?,"Is Netflix title 'hells kitchen 2005' a Series, Movie, or Documentary?"
icarly 2007,5,11,Is title 'icarly 2007' original Netflix content?,"Is Netflix title 'icarly 2007' a Series, Movie, or Documentary?"
the ultimate braai master,5,25,Is title 'the ultimate braai master' original Netflix content?,"Is Netflix title 'the ultimate braai master' a Series, Movie, or Documentary?"
queen of the south,5,18,Is title 'queen of the south' original Netflix content?,"Is Netflix title 'queen of the south' a Series, Movie, or Documentary?"
the great british baking show holidays,5,38,Is title 'the great british baking show holidays' original Netflix content?,"Is Netflix title 'the great british baking show holidays' a Series, Movie, or Documentary?"
friday night lights,5,19,Is title 'friday night lights' original Netflix content?,"Is Netflix title 'friday night lights' a Series, Movie, or Documentary?"
the last kingdom,5,16,Is title 'the last kingdom' original Netflix content?,"Is Netflix title 'the last kingdom' a Series, Movie, or Documentary?"
shera and the princesses of power,5,33,Is title 'shera and the princesses of power' original Netflix content?,"Is Netflix title 'shera and the princesses of power' a Series, Movie, or Documentary?"
rake 2010,5,9,Is title 'rake 2010' original Netflix content?,"Is Netflix title 'rake 2010' a Series, Movie, or Documentary?"
breaking bad,5,12,Is title 'breaking bad' original Netflix content?,"Is Netflix title 'breaking bad' a Series, Movie, or Documentary?"
jane the virgin,5,15,Is title 'jane the virgin' original Netflix content?,"Is Netflix title 'jane the virgin' a Series, Movie, or Documentary?"
the good doctor,5,15,Is title 'the good doctor' original Netflix content?,"Is Netflix title 'the good doctor' a Series, Movie, or Documentary?"
greenleaf,5,9,Is title 'greenleaf' original Netflix content?,"Is Netflix title 'greenleaf' a Series, Movie, or Documentary?"
gomorrah,5,8,Is title 'gomorrah' original Netflix content?,"Is Netflix title 'gomorrah' a Series, Movie, or Documentary?"
detective conan,5,15,Is title 'detective conan' original Netflix content?,"Is Netflix title 'detective conan' a Series, Movie, or Documentary?"
dinotrux,5,8,Is title 'dinotrux' original Netflix content?,"Is Netflix title 'dinotrux' a Series, Movie, or Documentary?"
billions,5,8,Is title 'billions' original Netflix content?,"Is Netflix title 'billions' a Series, Movie, or Documentary?"
top gear 2003,5,13,Is title 'top gear 2003' original Netflix content?,"Is Netflix title 'top gear 2003' a Series, Movie, or Documentary?"
the magicians 2015,5,18,Is title 'the magicians 2015' original Netflix content?,"Is Netflix title 'the magicians 2015' a Series, Movie, or Documentary?"
el marginal,5,11,Is title 'el marginal' original Netflix content?,"Is Netflix title 'el marginal' a Series, Movie, or Documentary?"
horrid henry,5,12,Is title 'horrid henry' original Netflix content?,"Is Netflix title 'horrid henry' a Series, Movie, or Documentary?"
f is for family,5,15,Is title 'f is for family' original Netflix content?,"Is Netflix title 'f is for family' a Series, Movie, or Documentary?"
rita,5,4,Is title 'rita' original Netflix content?,"Is Netflix title 'rita' a Series, Movie, or Documentary?"
teen titans go,5,14,Is title 'teen titans go' original Netflix content?,"Is Netflix title 'teen titans go' a Series, Movie, or Documentary?"
ridley jones,5,12,Is title 'ridley jones' original Netflix content?,"Is Netflix title 'ridley jones' a Series, Movie, or Documentary?"
z nation,5,8,Is title 'z nation' original Netflix content?,"Is Netflix title 'z nation' a Series, Movie, or Documentary?"
word party,5,10,Is title 'word party' original Netflix content?,"Is Netflix title 'word party' a Series, Movie, or Documentary?"
jack whitehall travels with my father,5,37,Is title 'jack whitehall travels with my father' original Netflix content?,"Is Netflix title 'jack whitehall travels with my father' a Series, Movie, or Documentary?"
cobra kai,5,9,Is title 'cobra kai' original Netflix content?,"Is Netflix title 'cobra kai' a Series, Movie, or Documentary?"
black lightning,5,15,Is title 'black lightning' original Netflix content?,"Is Netflix title 'black lightning' a Series, Movie, or Documentary?"
dora the explorer,5,17,Is title 'dora the explorer' original Netflix content?,"Is Netflix title 'dora the explorer' a Series, Movie, or Documentary?"
the crown,5,9,Is title 'the crown' original Netflix content?,"Is Netflix title 'the crown' a Series, Movie, or Documentary?"
lego friends,5,12,Is title 'lego friends' original Netflix content?,"Is Netflix title 'lego friends' a Series, Movie, or Documentary?"
kims convenience,5,16,Is title 'kims convenience' original Netflix content?,"Is Netflix title 'kims convenience' a Series, Movie, or Documentary?"
van helsing,5,11,Is title 'van helsing' original Netflix content?,"Is Netflix title 'van helsing' a Series, Movie, or Documentary?"
seora acero,5,11,Is title 'seora acero' original Netflix content?,"Is Netflix title 'seora acero' a Series, Movie, or Documentary?"
fuller house,5,12,Is title 'fuller house' original Netflix content?,"Is Netflix title 'fuller house' a Series, Movie, or Documentary?"
ride on time,5,12,Is title 'ride on time' original Netflix content?,"Is Netflix title 'ride on time' a Series, Movie, or Documentary?"
arrested development,5,20,Is title 'arrested development' original Netflix content?,"Is Netflix title 'arrested development' a Series, Movie, or Documentary?"
the batman,5,10,Is title 'the batman' original Netflix content?,"Is Netflix title 'the batman' a Series, Movie, or Documentary?"
izombie,5,7,Is title 'izombie' original Netflix content?,"Is Netflix title 'izombie' a Series, Movie, or Documentary?"
henry danger,5,12,Is title 'henry danger' original Netflix content?,"Is Netflix title 'henry danger' a Series, Movie, or Documentary?"
travel man 48 hours in,5,22,Is title 'travel man 48 hours in' original Netflix content?,"Is Netflix title 'travel man 48 hours in' a Series, Movie, or Documentary?"
poldark 2015,5,12,Is title 'poldark 2015' original Netflix content?,"Is Netflix title 'poldark 2015' a Series, Movie, or Documentary?"
young sheldon,5,13,Is title 'young sheldon' original Netflix content?,"Is Netflix title 'young sheldon' a Series, Movie, or Documentary?"
cuckoo,5,6,Is title 'cuckoo' original Netflix content?,"Is Netflix title 'cuckoo' a Series, Movie, or Documentary?"
skam italia,5,11,Is title 'skam italia' original Netflix content?,"Is Netflix title 'skam italia' a Series, Movie, or Documentary?"
trauma 2010,5,11,Is title 'trauma 2010' original Netflix content?,"Is Netflix title 'trauma 2010' a Series, Movie, or Documentary?"
all american,5,12,Is title 'all american' original Netflix content?,"Is Netflix title 'all american' a Series, Movie, or Documentary?"
miraculous tales of ladybug  cat noir,5,37,Is title 'miraculous tales of ladybug  cat noir' original Netflix content?,"Is Netflix title 'miraculous tales of ladybug  cat noir' a Series, Movie, or Documentary?"
aggretsuko,5,10,Is title 'aggretsuko' original Netflix content?,"Is Netflix title 'aggretsuko' a Series, Movie, or Documentary?"
all hail king julien,5,20,Is title 'all hail king julien' original Netflix content?,"Is Netflix title 'all hail king julien' a Series, Movie, or Documentary?"
one on one,5,10,Is title 'one on one' original Netflix content?,"Is Netflix title 'one on one' a Series, Movie, or Documentary?"
people just do nothing,5,22,Is title 'people just do nothing' original Netflix content?,"Is Netflix title 'people just do nothing' a Series, Movie, or Documentary?"
line of duty,5,12,Is title 'line of duty' original Netflix content?,"Is Netflix title 'line of duty' a Series, Movie, or Documentary?"
the parkers,5,11,Is title 'the parkers' original Netflix content?,"Is Netflix title 'the parkers' a Series, Movie, or Documentary?"
casados con hijos 2005,5,22,Is title 'casados con hijos 2005' original Netflix content?,"Is Netflix title 'casados con hijos 2005' a Series, Movie, or Documentary?"
jurassic world camp cretaceous,5,30,Is title 'jurassic world camp cretaceous' original Netflix content?,"Is Netflix title 'jurassic world camp cretaceous' a Series, Movie, or Documentary?"
masha and the bear,5,18,Is title 'masha and the bear' original Netflix content?,"Is Netflix title 'masha and the bear' a Series, Movie, or Documentary?"
formula 1 drive to survive,5,26,Is title 'formula 1 drive to survive' original Netflix content?,"Is Netflix title 'formula 1 drive to survive' a Series, Movie, or Documentary?"
un gars une fille 1999,5,22,Is title 'un gars une fille 1999' original Netflix content?,"Is Netflix title 'un gars une fille 1999' a Series, Movie, or Documentary?"
nina,5,4,Is title 'nina' original Netflix content?,"Is Netflix title 'nina' a Series, Movie, or Documentary?"
dynasty,5,7,Is title 'dynasty' original Netflix content?,"Is Netflix title 'dynasty' a Series, Movie, or Documentary?"
blindspot,5,9,Is title 'blindspot' original Netflix content?,"Is Netflix title 'blindspot' a Series, Movie, or Documentary?"
you me her,5,10,Is title 'you me her' original Netflix content?,"Is Netflix title 'you me her' a Series, Movie, or Documentary?"
the great canadian baking show,5,30,Is title 'the great canadian baking show' original Netflix content?,"Is Netflix title 'the great canadian baking show' a Series, Movie, or Documentary?"
swat 2017,5,9,Is title 'swat 2017' original Netflix content?,"Is Netflix title 'swat 2017' a Series, Movie, or Documentary?"
meateater,5,9,Is title 'meateater' original Netflix content?,"Is Netflix title 'meateater' a Series, Movie, or Documentary?"
rookie blue,5,11,Is title 'rookie blue' original Netflix content?,"Is Netflix title 'rookie blue' a Series, Movie, or Documentary?"
booba,5,5,Is title 'booba' original Netflix content?,"Is Netflix title 'booba' a Series, Movie, or Documentary?"
robocar poli,4,12,Is title 'robocar poli' original Netflix content?,"Is Netflix title 'robocar poli' a Series, Movie, or Documentary?"
wynonna earp,4,12,Is title 'wynonna earp' original Netflix content?,"Is Netflix title 'wynonna earp' a Series, Movie, or Documentary?"
chip and potato,4,15,Is title 'chip and potato' original Netflix content?,"Is Netflix title 'chip and potato' a Series, Movie, or Documentary?"
pokmon journeys the series,4,26,Is title 'pokmon journeys the series' original Netflix content?,"Is Netflix title 'pokmon journeys the series' a Series, Movie, or Documentary?"
karmas world,4,12,Is title 'karmas world' original Netflix content?,"Is Netflix title 'karmas world' a Series, Movie, or Documentary?"
the real housewives of beverly hills,4,36,Is title 'the real housewives of beverly hills' original Netflix content?,"Is Netflix title 'the real housewives of beverly hills' a Series, Movie, or Documentary?"
castlevania,4,11,Is title 'castlevania' original Netflix content?,"Is Netflix title 'castlevania' a Series, Movie, or Documentary?"
good girls,4,10,Is title 'good girls' original Netflix content?,"Is Netflix title 'good girls' a Series, Movie, or Documentary?"
pj masks,4,8,Is title 'pj masks' original Netflix content?,"Is Netflix title 'pj masks' a Series, Movie, or Documentary?"
ozark,4,5,Is title 'ozark' original Netflix content?,"Is Netflix title 'ozark' a Series, Movie, or Documentary?"
the mr peabody and sherman show,4,31,Is title 'the mr peabody and sherman show' original Netflix content?,"Is Netflix title 'the mr peabody and sherman show' a Series, Movie, or Documentary?"
3,4,1,Is title '3' original Netflix content?,"Is Netflix title '3' a Series, Movie, or Documentary?"
eyeshield 21,4,12,Is title 'eyeshield 21' original Netflix content?,"Is Netflix title 'eyeshield 21' a Series, Movie, or Documentary?"
star trek enterprise,4,20,Is title 'star trek enterprise' original Netflix content?,"Is Netflix title 'star trek enterprise' a Series, Movie, or Documentary?"
degrassi next class,4,19,Is title 'degrassi next class' original Netflix content?,"Is Netflix title 'degrassi next class' a Series, Movie, or Documentary?"
the chef show,4,13,Is title 'the chef show' original Netflix content?,"Is Netflix title 'the chef show' a Series, Movie, or Documentary?"
midnight diner,4,14,Is title 'midnight diner' original Netflix content?,"Is Netflix title 'midnight diner' a Series, Movie, or Documentary?"
home adventures with tip  oh,4,28,Is title 'home adventures with tip  oh' original Netflix content?,"Is Netflix title 'home adventures with tip  oh' a Series, Movie, or Documentary?"
hello ninja,4,11,Is title 'hello ninja' original Netflix content?,"Is Netflix title 'hello ninja' a Series, Movie, or Documentary?"
